epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,3635.03,1.14949,2.47573,1.35353,1.33372,0,0.39213,0.33212,0.31011,0.16897,0.39721,0.32497,0.30072,0.13931,1.74129,3.35972,2.18659,1.92618,0,0.000214497,0.000214497,0.000214497
62,3693.01,1.1484,2.44361,1.34071,1.31712,0,0.4209,0.3527,0.32114,0.17883,0.46277,0.34411,0.31416,0.14911,1.73997,3.32982,2.16387,1.91129,0,0.000204189,0.000204189,0.000204189
63,3749.52,1.1505,2.44385,1.33131,1.32682,0,0.40155,0.35082,0.32092,0.18425,0.41142,0.33497,0.31028,0.15227,1.74169,3.4239,2.18057,1.91735,0,0.000193881,0.000193881,0.000193881
64,3807.08,1.13323,2.43683,1.33412,1.30951,0,0.40541,0.36946,0.32428,0.18726,0.40482,0.36595,0.30966,0.15091,1.75689,3.32864,2.16941,1.92671,0,0.000183572,0.000183572,0.000183572
65,3865.45,1.12496,2.41913,1.30175,1.30075,0,0.43122,0.3366,0.32666,0.18376,0.44445,0.32562,0.31324,0.14786,1.75314,3.37526,2.18537,1.93613,0,0.000173264,0.000173264,0.000173264
66,3923.59,1.11416,2.39323,1.2818,1.30225,0,0.36337,0.38663,0.33012,0.1861,0.36136,0.39715,0.3226,0.15637,1.76468,3.39142,2.15267,1.95881,0,0.000162956,0.000162956,0.000162956
67,3981.97,1.10598,2.40455,1.28341,1.3017,0,0.41067,0.36212,0.32071,0.18553,0.39434,0.35409,0.31115,0.15436,1.75868,3.40906,2.15877,1.95371,0,0.000152647,0.000152647,0.000152647
68,4039.93,1.09854,2.39485,1.2512,1.29241,0,0.40582,0.34461,0.32856,0.1932,0.42215,0.368,0.32716,0.15898,1.75245,3.42199,2.16596,1.94413,0,0.000142339,0.000142339,0.000142339
69,4098.51,1.09951,2.38401,1.25909,1.29098,0,0.39813,0.33884,0.32357,0.19058,0.41795,0.33999,0.32102,0.15786,1.73638,3.419,2.14706,1.92852,0,0.000132031,0.000132031,0.000132031
70,4155.71,1.09343,2.33208,1.23395,1.28894,0,0.49781,0.31688,0.33928,0.19689,0.48188,0.3055,0.31445,0.15864,1.74556,3.40025,2.15964,1.94788,0,0.000121722,0.000121722,0.000121722
71,4224.27,1.07705,2.20589,1.12856,1.3377,0,0.45439,0.32485,0.3205,0.17838,0.42048,0.33195,0.30379,0.1491,1.76132,3.41882,2.16058,1.94806,0,0.000111414,0.000111414,0.000111414
72,4281.22,1.0422,2.13067,1.03921,1.2973,0,0.41296,0.33342,0.32362,0.18563,0.47078,0.31043,0.3103,0.15378,1.76013,3.4225,2.15162,1.94815,0,0.000101105,0.000101105,0.000101105
73,4337.16,1.0207,2.11579,1.0027,1.2912,0,0.45576,0.32515,0.32955,0.18791,0.46545,0.32809,0.32098,0.15879,1.74936,3.40078,2.14819,1.93523,0,9.0797e-05,9.0797e-05,9.0797e-05
74,4395.39,1.0097,2.07034,0.96894,1.26666,0,0.45544,0.32217,0.33331,0.19154,0.45599,0.31923,0.31866,0.15969,1.76083,3.41918,2.13871,1.96044,0,8.04886e-05,8.04886e-05,8.04886e-05
75,4451.83,0.98923,2.07849,0.95622,1.25424,0,0.47877,0.29236,0.3198,0.18339,0.37537,0.34838,0.30547,0.1524,1.76431,3.4344,2.13643,1.96163,0,7.01802e-05,7.01802e-05,7.01802e-05
76,4507.69,0.97039,2.04933,0.95223,1.24731,0,0.42492,0.31622,0.31995,0.18519,0.41814,0.31012,0.30519,0.15291,1.75453,3.42799,2.14524,1.95799,0,5.98719e-05,5.98719e-05,5.98719e-05
77,4563.85,0.97588,2.04009,0.94559,1.25462,0,0.40251,0.32973,0.32266,0.18724,0.40266,0.32579,0.31671,0.1561,1.75286,3.47265,2.14998,1.95865,0,4.95635e-05,4.95635e-05,4.95635e-05
78,4620.47,0.95404,2.00098,0.90918,1.23303,0,0.41775,0.32856,0.32134,0.18508,0.40789,0.32885,0.31099,0.15531,1.74544,3.46772,2.17773,1.95377,0,3.92551e-05,3.92551e-05,3.92551e-05
79,4676.59,0.95956,2.00414,0.92006,1.24302,0,0.45515,0.30516,0.31938,0.1799,0.36568,0.33999,0.30444,0.14944,1.75756,3.48087,2.16534,1.96821,0,2.89468e-05,2.89468e-05,2.89468e-05
80,4732.1,0.96105,2.00086,0.90676,1.23025,0,0.45818,0.30998,0.31713,0.17819,0.40489,0.32623,0.30504,0.1484,1.76717,3.47851,2.16991,1.97027,0,1.86384e-05,1.86384e-05,1.86384e-05
